expression,reading,meaning
強引,ごういん,"forcible, assertive, pushy"
公害,こうがい,"public nuisance, pollution"
高級,こうきゅう,high class; first-rate
公共,こうきょう,"public, community, communal"
工芸,こうげい,industrial arts
孝行,こうこう,filial piety
交差,こうさ,cross
講師,こうし,lecturer
工事,こうじ,construction work
公式,こうしき,"formula, formality, official"
口実,こうじつ,excuse
こうして,こうして,"like this, with this"
校舎,こうしゃ,"school building, schoolhouse"
公衆,こうしゅう,the public
香水,こうすい,perfume
公正,こうせい,"justice, fairness, impartiality"
功績,こうせき,"achievements, merit"
光線,こうせん,"beam, light ray"
高層,こうそう,"tall, high rise"
構造,こうぞう,"structure, construction"
交替,こうたい,"change, relief, alteration"
交代,こうたい,"alternation, change, relief, relay, shift, substitution sports, etc., taking turns"
耕地,こうち,arable land
交通機関,こうつうきかん,transportation facilities
校庭,こうてい,school yard
肯定,こうてい,"positive, affirmation"
高度,こうど,"altitude, height; advanced"
高等,こうとう,"high class, high grade"
合同,ごうどう,"combination, incorporation"
高等学校,こうとうがっこう,senior high school
公表,こうひょう,"official announcement, proclamation"
鉱物,こうぶつ,mineral
公務,こうむ,"official business, public business"
項目,こうもく,item
紅葉,こうよう,fall colors of leaves
こうよう もみじ,こうよう もみじ,Japanese maple
合理,ごうり,rational
交流,こうりゅう,exchange; alternating current
合流,ごうりゅう,"confluence, merge, join"
効力,こうりょく,"effect, efficacy"
焦がす,こがす,"to burn, to scorch"
国王,こくおう,king
こくせき,こくせき,nationality
国立,こくりつ,national
ご苦労様,ごくろうさま,Thank you for your hard work
焦げる,こげる,"to burn, to be burned"
凍える,こごえる,"to freeze, to be chilled, to be frozen"
心当たり,こころあたり,"having some knowledge of, happening to know"
心得る,こころえる,"to understand, to have thorough knowledge"
腰掛け,こしかけ,"seat, bench"
腰掛,こしかけ,"seat, bench"
腰掛ける,こしかける,to sit down
五十音,ごじゅうおん,the Japanese syllabary
こしらえる,こしらえる,"to make, to manufacture"
擦る,こする,"to rub, to chafe, to file, to frost glass, to strike match"
個体,こたい,an individual
小遣い,こづかい,"pocket money, allowance"
古典,こてん,"classics, classic"
言付ける,ことづける,to leave a message
言葉遣い,ことばづかい,"speech, expression, wording"
こないだ,こないだ,"the other day, lately, recently"
御無沙汰,ごぶさた,not writing or contacting for a while
ゴム,ゴム,"gum, rubber"
御免,ごめん,"declining something; pardon, sorry"
ごめんください,ごめんください,"May I come in, Is anyone here"
小指,こゆび,little finger
堪える,こらえる,"to bear, to endure, to put up with"
娯楽,ごらく,"pleasure, amusement, recreation"
御覧,ごらん,"hon. look, inspection, try"
転がす,ころがす,to roll
転がる,ころがる,"to roll, to tumble"
紺,こん,"navy blue, deep blue"
今,こん,"this, current"
混合,こんごう,"mixing, mixture"
献立,こんだて,menu
再,さい,re ~
最,さい,the most ~
在学,ざいがく,enrolled in school
再三,さいさん,"again and again, repeatedly"
祭日,さいじつ,"national holiday, festival day"
催促,さいそく,"demand, urge action, press for"
採点,さいてん,"marking, grading"
災難,さいなん,"calamity, misfortune"
裁縫,さいほう,sewing
材木,ざいもく,"lumber, timber"
逆さ,さかさ,"reverse, upside down"
逆様,さかさま,"reverse, upside down"
捜す,さがす,"to search, to seek, to look for"
遡る,さかのぼる,"to go back, to date back; ascend"
酒場,さかば,"bar, bar-room"
一昨昨日,さきおととい,"two days before yesterday, three days ago"
